,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
36,36,Dai sempre il meglio di te!,1,Always give the best of you!,You always give the best of you!,0.6696,0.6696,0.473,0.0,0.527,0.6696,0.428,0.0,0.572,0.6696,1.0,0.3,1.0,0.3, POSITIVE (0.9983), POSITIVE (0.9979),1.0,0.3,1.0,0.3,True,False,Always give the best of you!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 68.04 75.0/71.4/66.7/60.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7),chrF2 = 92.37
37,37,ÃÂ bello essere spensierati,1,It's good to be carefree,It's nice to be carefree,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.647,0.0,0.353,0.6705,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9964), POSITIVE (0.9939),0.7,0.6000000000000001,0.6,1.0,False,True,It's nice to be carefree,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 62.64,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
38,38, Sei una persona molto dolce,1,You're a very sweet person,You are a very sweet person,0.5095,0.5095,0.523,0.0,0.477,0.5095,0.452,0.0,0.548,0.5095,0.4549999999999999,0.8450000000000001,0.4549999999999999,0.8450000000000001, POSITIVE (0.9994), POSITIVE (0.9989),0.4549999999999999,0.8450000000000001,0.4549999999999999,0.8450000000000001,True,True,You're a very sweet person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 50.81 66.7/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 84.02
39,39,Ho fatto una bella corsa.,1,I had a good run.,I made a good race.,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9715), POSITIVE (0.9958),0.7,0.6000000000000001,0.7,0.6000000000000001,True,False,I had a good run.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 19.30 66.7/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 36.69
40,40,Sono stata in un posto bellissimo,1,I've been to a beautiful place,I was in a beautiful place,0.5994,0.5994,0.494,0.0,0.506,0.5994,0.565,0.0,0.435,0.5994,0.85,1.0,0.85,1.0, POSITIVE (0.9972), POSITIVE (0.9945),0.85,1.0,0.85,1.0,True,False,I've been to a beautiful place,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 58.72
41,41,Sei una persona di successo,1,You are a successful person,You are a successful person,0.5859,0.5859,0.559,0.0,0.441,0.5859,0.559,0.0,0.441,0.5859,0.75,0.95,0.75,0.95, POSITIVE (0.9899), POSITIVE (0.9899),0.75,0.95,0.75,0.95,True,True,You are a successful person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
42,42,Meriti tutto il bene del mondo!,1,You deserve all the good in the world!,You deserve the whole good of the world!,0.4926,0.4926,0.313,0.0,0.687,0.4926,0.313,0.0,0.687,0.4926,0.875,0.6000000000000001,0.5375,0.5, POSITIVE (0.9872), POSITIVE (0.9663),0.875,0.6000000000000001,0.5375,0.5,True,False,You deserve all the good in the world!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00,BLEU = 24.27 77.8/37.5/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 59.50
43,43,Ti auguro ogni bene!,1,I wish you all the best!,I wish you all the best!,0.8016,0.8016,0.706,0.0,0.294,0.8016,0.706,0.0,0.294,0.8016,1.0,0.3,1.0,0.3, POSITIVE (0.9873), POSITIVE (0.9873),1.0,0.3,1.0,0.3,True,True,I wish you all the best!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
44,44,Ridere fa bene alla salute!,1,Laughing is good for your health!,Laughter is good for health!,0.75,0.75,0.615,0.0,0.385,0.75,0.681,0.0,0.319,0.75,0.875,0.6000000000000001,0.875,0.6000000000000001, POSITIVE (0.9953), POSITIVE (0.9976),0.875,0.6000000000000001,0.875,0.6000000000000001,True,False,Laughing is good for your health!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 32.16 83.3/60.0/25.0/16.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),chrF2 = 57.54
45,45,Ho apprezzato molto il tuo aiuto.,1,I really appreciate your help.,I really appreciated your help.,0.762,0.7146,0.749,0.0,0.251,0.7146,0.766,0.0,0.234,0.762,0.2,0.2,0.2,0.1, POSITIVE (0.9579), POSITIVE (0.9699),0.2,0.2,0.2,0.1,True,True,I really appreciate your help.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 37.99 83.3/60.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 88.02
46,46,Una dolce carezza.,1,A sweet caress.,A sweet caress.,0.4588,0.4588,0.75,0.0,0.25,0.4588,0.75,0.0,0.25,0.4588,0.35,0.65,0.35,0.65, POSITIVE (0.9967), POSITIVE (0.9967),0.35,0.65,0.35,0.65,True,True,A sweet caress.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
47,47,Il tuo regalo mi piace molto,1,I like your gift very much,I really like your gift,0.7146,0.6597,0.643,0.0,0.357,0.6597,0.749,0.0,0.251,0.7146,0.26,0.26,0.2,0.2, POSITIVE (0.9747), POSITIVE (0.9868),0.26,0.26,0.2,0.2,False,True,I really like your gift,BLEU = 32.47 66.7/40.0/25.0/16.7 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 59.20,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
48,48,Buon compleanno!,1,Happy birthday!,Happy birthday!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.9965), POSITIVE (0.9965),1.0,1.0,1.0,1.0,True,True,Happy birthday!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
49,49,Felice anniversario!,1,Happy anniversary!,Happy Anniversary!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.998), POSITIVE (0.998),1.0,1.0,1.0,1.0,True,True,Happy anniversary!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 34.67 66.7/25.0/25.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 74.10
50,50,Congratulazioni!,1,Congratulations!,Congratulations!,0.636,0.636,1.0,0.0,0.0,0.636,1.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0, POSITIVE (0.9964), POSITIVE (0.9964),0.0,0.0,0.0,0.0,True,True,Congratulations!,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00
51,51,Quando passeggio tra la natura mi sento sempre felice e rilassata,1,When I walk through nature I always feel happy and relaxed,When I walk between nature I always feel happy and relaxed,0.7845,0.7845,0.496,0.0,0.504,0.7845,0.496,0.0,0.504,0.7845,0.8,1.0,0.8,1.0, POSITIVE (0.9978), POSITIVE (0.9976),0.8,1.0,0.8,1.0,True,True,When I walk through nature I always feel happy and relaxed,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 70.17 90.9/80.0/66.7/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 79.30
52,52,Viaggiare in treno da sola ÃÂ¨ un esperienza bellissima ed estremamente rilassante,1,Traveling by train alone is a beautiful and extremely relaxing experience,Traveling by train alone is a beautiful and extremely relaxing experience,0.7501,0.7501,0.451,0.122,0.427,0.7501,0.451,0.122,0.427,0.7501,0.3625,1.0,0.3625,1.0, POSITIVE (0.9978), POSITIVE (0.9978),0.3625,1.0,0.3625,1.0,True,True,Traveling by train alone is a beautiful and extremely relaxing experience,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00
53,53,Domani si sposa mio cugino ed io non vedo lÃÂora di andare al matrimonio. Dopo molti anni finalmente avrÃÂ² lÃÂoccasione di rivedere tutta la famiglia.,1,Tomorrow my cousin gets married and I can't wait to go to the wedding. After many years I will finally have the opportunity to see the whole family again.,Tomorrow my cousin gets married and I can't wait to go to the wedding.After many years I will finally have the opportunity to review the whole family.,0.4215,0.4215,0.097,0.0,0.903,0.4215,0.104,0.0,0.896,0.4215,0.2375,0.5375,0.2375,0.5375, POSITIVE (0.9988), POSITIVE (0.9988),0.2375,0.5375,0.2375,0.5375,True,False,Tomorrow my cousin gets married and I can't wait to go to the wedding. After many years I will finally have the opportunity to see the whole family again.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 31 ref_len = 31),chrF2 = 100.00,BLEU = 85.31 96.7/89.7/85.7/81.5 (BP = 0.967 ratio = 0.968 hyp_len = 30 ref_len = 31),chrF2 = 91.49
54,54,I bambini sono stati felici di andare al parco giochi. Si sono divertiti ad andare sulle giostre e a mangiare zucchero filato.,1,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,The children were happy to go to the playground.They had fun going to the rides and eating cotton candy.,0.7906,0.7906,0.292,0.0,0.708,0.7906,0.292,0.0,0.708,0.7906,0.55,0.6,0.55,0.6, POSITIVE (0.9957), POSITIVE (0.9963),0.55,0.6,0.55,0.6,True,False,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 21 ref_len = 21),chrF2 = 100.00,BLEU = 73.44 86.4/76.2/70.0/63.2 (BP = 1.000 ratio = 1.048 hyp_len = 22 ref_len = 21),chrF2 = 85.47
55,55,"A mia figlia piace molto ballare e quando ÃÂ¨ sul palco ÃÂ¨ felice, a suo agioÃÂ e a me piace molto vederla ballare.",1,"My daughter really likes to dance and when she's on stage she's happy, comfortable and I really like to see her dance.","My daughter likes to dance and when she is on stage she is happy, at ease and I really like to see her dance.",0.8955,0.9167,0.431,0.0,0.569,0.9167,0.383,0.0,0.617,0.8955,0.3999999999999999,0.55,0.5,0.6, POSITIVE (0.9905), POSITIVE (0.9891),0.3999999999999999,0.55,0.5,0.6,True,False,"My daughter really likes to dance and when she's on stage she's happy, comfortable and I really like to see her dance.",BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 24 ref_len = 24),chrF2 = 100.00,BLEU = 50.86 76.9/60.0/41.7/34.8 (BP = 1.000 ratio = 1.083 hyp_len = 26 ref_len = 24),chrF2 = 72.78
56,56,LÃÂaccessorio piÃÂ¹ bello da indossare ÃÂ¨ il sorriso perchÃÂ© trasmette gioia e felicitÃÂ  alle persone che incontriamo.,1,The most beautiful accessory to wear is the smile because it conveys joy and happiness to the people we meet.,The most beautiful accessory to wear is the smile because it transmits joy and happiness to the people we meet.,0.9336,0.9336,0.468,0.0,0.532,0.9336,0.468,0.0,0.532,0.9336,0.6300000000000001,0.4,0.6300000000000001,0.4, POSITIVE (0.9994), POSITIVE (0.9994),0.6300000000000001,0.4,0.6300000000000001,0.4,False,False,The most beautidul accesory to wear is a smile because it conveys ,BLEU = 18.33 42.9/30.0/15.8/5.6 (BP = 1.000 ratio = 1.750 hyp_len = 21 ref_len = 12),chrF2 = 73.25,BLEU = 12.92 38.1/25.0/10.5/2.8 (BP = 1.000 ratio = 1.750 hyp_len = 21 ref_len = 12),chrF2 = 62.26
57,57,Le persone solari e allegre sono meravigliose e portano tanta felicitÃÂ  a chi li circonde.,1,Solar and cheerful people are wonderful and bring so much happiness to those around them.,Solar and cheerful people are wonderful and bring so much happiness to those who surround them.,0.9017,0.9017,0.48,0.0,0.52,0.9017,0.46,0.0,0.54,0.9017,0.6999999999999998,0.7333333333333334,0.6999999999999998,0.7333333333333334, POSITIVE (0.9956), POSITIVE (0.9969),0.6999999999999998,0.7333333333333334,0.6999999999999998,0.7333333333333334,True,False,Solar and cheerful people are wonderful and bring so much happiness to those around them.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 16 ref_len = 16),chrF2 = 100.00,BLEU = 78.28 88.2/81.2/73.3/71.4 (BP = 1.000 ratio = 1.062 hyp_len = 17 ref_len = 16),chrF2 = 93.82
58,58,Una delle esperienze piÃÂ¹ belle della mia vita ÃÂ¨ stata quella di diventare mamma. Mi ha reso una donna migliore e certamente piÃÂ¹ felice,1,One of the best experiences of my life was becoming a mom. It made me a better woman and certainly happier,One of the most beautiful experiences of my life was to become a mother.She made me a better and certainly happier woman,0.9168,0.9169,0.462,0.0,0.538,0.9169,0.446,0.0,0.554,0.9168,0.5410714285714285,0.5553571428571429,0.5160714285714286,0.6428571428571428, POSITIVE (0.9928), POSITIVE (0.995),0.5410714285714285,0.5553571428571429,0.5160714285714286,0.6428571428571428,False,True,One of the most beautiful experiences of my life was to become a mother.She made me a better and certainly happier woman,BLEU = 35.82 81.8/52.4/35.0/15.8 (BP = 0.913 ratio = 0.917 hyp_len = 22 ref_len = 24),chrF2 = 64.91,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 24 ref_len = 24),chrF2 = 100.00
59,59,"Ho visto il nuovo film di Tom Cruise, ÃÂMaverickÃÂ, e devo dire che mi ha emozionato perchÃÂ© mi ha riportato alla mia gioventÃÂ¹.",1,"I saw the new Tom Cruise movie, Maverick, and I have to say it got me excited because it brought me back to my youth.","I saw Tom Cruise's new film, Maverick, and I must say that he excited me because he brought me back to my youth.",0.34,0.34,0.098,0.0,0.902,0.34,0.107,0.0,0.893,0.34,0.1704545454545454,0.4015151515151515,0.1704545454545454,0.4015151515151515, POSITIVE (0.9996), POSITIVE (0.9996),0.1704545454545454,0.4015151515151515,0.1704545454545454,0.4015151515151515,True,False,"I saw the new Tom Cruise movie, Maverick, and I have to say it got me excited because it brought me back to my youth.",BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 28 ref_len = 28),chrF2 = 100.00,BLEU = 38.35 76.9/44.0/33.3/26.1 (BP = 0.926 ratio = 0.929 hyp_len = 26 ref_len = 28),chrF2 = 61.62
60,60,LÃÂesperienza studio in Italia ÃÂ¨ stata unica. Mi ha cambiato letteralmente la vita e mi ha aperto gli occhi su una nuova realtÃÂ .,1,The study experience in Italy was unique. It literally changed my life and opened my eyes to a new reality.,The study experience in Italy was unique.She literally changed my life and opened my eyes on a new reality.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2556818181818182,0.7272727272727273,0.1363636363636363,0.4545454545454545, POSITIVE (0.9996), POSITIVE (0.9989),0.2556818181818182,0.7272727272727273,0.1363636363636363,0.4545454545454545,True,False,The study experience in Italy was unique. It literally changed my life and opened my eyes to a new reality.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 22 ref_len = 22),chrF2 = 100.00,BLEU = 73.90 90.9/81.0/70.0/57.9 (BP = 1.000 ratio = 1.000 hyp_len = 22 ref_len = 22),chrF2 = 89.37
61,61,Mi sento una donna molto fortunate perchÃÂ¨ faccio un lavoro che amo e quando sono in classe con mi miei studenti mi sento felice.,1,I feel like a very lucky woman because I do a job that I love and when I'm in class with my students I feel happy.,I feel like a very lucky woman because I do a job that I love and when I am in class with my students I feel happy.,0.9259,0.9259,0.457,0.0,0.543,0.9259,0.457,0.0,0.543,0.9259,0.5777777777777778,0.8666666666666667,0.5777777777777778,0.8666666666666667, POSITIVE (0.9925), POSITIVE (0.9911),0.5777777777777778,0.8666666666666667,0.5777777777777778,0.8666666666666667,True,True,I feel like a very lucky woman because I do a job that I love and when I'm in class with my students I feel happy.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 27 ref_len = 27),chrF2 = 100.00,BLEU = 86.46 92.9/88.9/84.6/80.0 (BP = 1.000 ratio = 1.037 hyp_len = 28 ref_len = 27),chrF2 = 95.91
62,62,"Ieri ho visitato un museo dÃÂarte molto interessante e mi ÃÂ¨ piaciuto moltissimo, ci voglio ritornare!",1,"Yesterday I visited a very interesting art museum and I loved it, I want to go back!","Yesterday I visited a very interesting art museum and I liked it very much, I want to go back!",0.7693,0.8169,0.459,0.0,0.541,0.8169,0.39,0.0,0.61,0.7693,0.45,0.4833333333333334,0.3775,0.4275, POSITIVE (0.9827), POSITIVE (0.956),0.45,0.4833333333333334,0.3775,0.4275,True,True,"Yesterday I visited a very interesting art museum and I loved it, I want to go back!",BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 19 ref_len = 19),chrF2 = 100.00,BLEU = 72.00 85.7/75.0/68.4/61.1 (BP = 1.000 ratio = 1.105 hyp_len = 21 ref_len = 19),chrF2 = 87.79
63,63,General /commonly used Italian sentences -Negative,-1,General /commonly used Italian sentences -Negative,General /commonly used Italian sentences -Negative,-0.5423,-0.5423,0.135,0.416,0.449,-0.5423,0.135,0.416,0.449,-0.5423,-0.0833333333333333,0.3,-0.0833333333333333,0.3, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.0833333333333333,0.3,-0.0833333333333333,0.3,,,,,,,
